model,accuracy,precision_lens,recall_lens,f1_lens,roc_auc,pr_auc,best_threshold,validation_f1,true_negative,false_positive,false_negative,true_positive,metrics_file
Custom CNN,0.9438775510204082,0.9399293286219081,0.9432624113475178,0.9415929203539823,0.9825244518611227,0.985433729437904,0.41000000000000003,0.9361702127659575,289,17,16,266,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\results\real_data_cnn\test_metrics.json
MobileNetV3 Transfer,0.9472789115646258,0.9466192170818505,0.9432624113475178,0.9449378330373002,0.9808325221341491,0.9833011488722667,0.47000000000000003,0.9434628975265018,291,15,16,266,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\results\transfer_learning_cnn\test_metrics.json
ViT-B/16 Transfer,0.9625850340136054,0.9850746268656716,0.9361702127659575,0.96,0.992339961989524,0.9935370418979863,0.65,0.9588550983899821,302,4,18,264,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\results\vit_transfer_learning\test_metrics.json
CBAM CNN,0.9319727891156463,0.9060402684563759,0.9574468085106383,0.9310344827586208,0.9845176841422149,0.9864502750606268,0.38,0.9387040280210157,278,28,12,270,D:\MSc Data and Computational Science\Gravitational Lensing\Gravitational_Lensing_Project\projects-ahana-vaishnav-ahanabhattacharji-Strong-Gravitational-Lens-Finding-Challenge\Real Data pipeline\results\cbam_attention_cnn\test_metrics.json
